id,localDate,localTime,gmtDate,gmtTime,lat,long,temp,extTemp,act,trueSpeed,dir,alt,cov,hdop,dist,count
1SAT257Bikang1,20/01/2013,2:20:33AM,19/01/2013,6:20:33PM,5.021483,118.435,25,0,0,15.7,5,1,0,1,,
2SAT257Bikang1,20/01/2013,4:20:04AM,19/01/2013,8:20:04PM,5.0215,118.434967,24.5,0,0,4.8c,5,1,4,2,,
3SAT257Bikang1,20/01/2013,6:20:33AM,19/01/2013,10:20:33PM,5.021483,118.435017,24.5,0,0,8.2c,5,0,6,3,,
4SAT257Bikang1,20/01/2013,8:20:03AM,20/01/2013,12:20:03AM,5.0215,118.435,25,0,0,10.2,4,0,3,4,,
5SAT257Bikang1,20/01/2013,10:20:33AM,20/01/2013,2:20:33AM,5.023317,118.436317,25.5,0,0,14.9,3,0,249,5,,
6SAT257Bikang1,20/01/2013,12:20:03PM,20/01/2013,4:20:03AM,5.046933,118.491933,25,0,0,102,4,1,6704,6,,
7SAT257Bikang1,20/01/2013,2:20:33PM,20/01/2013,6:20:33AM,5.150317,118.49345,25.5,0,0,66.8,3,2,11510,7,,
8SAT257Bikang1,20/01/2013,4:20:03PM,20/01/2013,8:20:03AM,5.175783,118.494433,26,0,0,75,5,1,2837,8,,
9SAT257Bikang1,20/01/2013,6:20:33PM,20/01/2013,10:20:33AM,5.175867,118.494517,26,0,0,71.9,4,0,13,9,,
10SAT257Bikang1,20/01/2013,8:20:07PM,20/01/2013,12:20:07PM,5.176517,118.494767,26,0,0,40.4,5,1,77,10,,
11SAT257Bikang1,20/01/2013,10:20:33PM,20/01/2013,2:20:33PM,5.176517,118.494883,27.5,0,0,58.9,4,1,13,11,,
12SAT257Bikang1,21/01/2013,12:20:04AM,20/01/2013,4:20:04PM,5.176783,118.495983,26.5,0,0,111,3,1,126,12,,
13SAT257Bikang1,21/01/2013,2:20:33AM,20/01/2013,6:20:33PM,5.176583,118.495683,27,0,0,95.3,5,1,40,13,,
14SAT257Bikang1,21/01/2013,4:20:07AM,20/01/2013,8:20:07PM,5.17645,118.4946,26.5,0,0,72.5,2,1,121,14,,
15SAT257Bikang1,21/01/2013,6:21:05AM,20/01/2013,10:21:05PM,5.1777,118.494967,27,0,0,80.8,0,3,145,15,,
16SAT257Bikang1,21/01/2013,8:20:38AM,21/01/2013,12:20:38AM,5.17865,118.4955,27,0,0,101,5,3,121,16,,
17SAT257Bikang1,21/01/2013,10:21:34AM,21/01/2013,2:21:34AM,5.1787,118.49605,27.5,0,0,75,0,1,61,17,,
18SAT257Bikang1,21/01/2013,12:20:29PM,21/01/2013,4:20:29AM,5.179433,118.497233,28.5,0,0,86.1,4,4,155,18,,
19SAT257Bikang1,21/01/2013,2:21:41PM,21/01/2013,6:21:41AM,5.180483,118.497467,29.5,0,0,112,2,3,120,19,,
20SAT257Bikang1,21/01/2013,4:20:34PM,21/01/2013,8:20:34AM,5.179417,118.4948,30,0,0,111,0,1,319,20,,
21SAT257Bikang1,21/01/2013,6:20:33PM,21/01/2013,10:20:33AM,5.180033,118.49385,29.5,0,0,79.3,0,1,126,21,,
22SAT257Bikang1,21/01/2013,8:20:33PM,21/01/2013,12:20:33PM,5.181367,118.49425,28.5,0,0,73.7,5,1,155,22,,
23SAT257Bikang1,21/01/2013,10:20:08PM,21/01/2013,2:20:08PM,5.18415,118.494933,28,0,0,90.3,0,1,319,23,,
24SAT257Bikang1,22/01/2013,12:20:44AM,21/01/2013,4:20:44PM,5.185367,118.495767,28.5,0,0,25.4,5,6,164,24,,
25SAT257Bikang1,22/01/2013,2:22:04AM,21/01/2013,6:22:04PM,5.185367,118.496417,28.5,0,0,88.9,3,1,72,25,,
26SAT257Bikang1,22/01/2013,4:21:01AM,21/01/2013,8:21:01PM,5.185967,118.4974,28.5,0,0,81.3,3,3,128,26,,
27SAT257Bikang1,22/01/2013,6:21:25AM,21/01/2013,10:21:25PM,5.186217,118.498517,28,0,0,63.2,0,1,127,27,,
28SAT257Bikang1,22/01/2013,8:20:16AM,22/01/2013,12:20:16AM,5.182317,118.503,28,0,0,142,2,3,660,28,,
29SAT257Bikang1,22/01/2013,12:21:19PM,22/01/2013,4:21:19AM,5.181683,118.509583,30,0,0,cccc,1,99,733,29,,
30SAT257Bikang1,22/01/2013,6:21:45PM,22/01/2013,10:21:45AM,5.181583,118.512483,30,0,0,240,4,2,322,30,,
31SAT257Bikang1,23/01/2013,4:20:05AM,22/01/2013,8:20:05PM,5.18135,118.515417,28,0,0,203,0,1,326,31,,
32SAT257Bikang1,23/01/2013,6:21:34AM,22/01/2013,10:21:34PM,5.180333,118.516183,28.5,0,0,215,2,2,142,32,,
33SAT257Bikang1,23/01/2013,8:20:34AM,23/01/2013,12:20:34AM,5.1799,118.51655,28.5,0,0,187,3,2,63,33,,
34SAT257Bikang1,23/01/2013,10:21:58AM,23/01/2013,2:21:58AM,5.179267,118.51885,29,0,0,213,0,1,265,34,,
35SAT257Bikang1,23/01/2013,12:20:33PM,23/01/2013,4:20:33AM,5.17885,118.518933,29,0,0,230,2,2,47,35,,
36SAT257Bikang1,23/01/2013,4:21:30PM,23/01/2013,8:21:30AM,5.178917,118.5192,30,0,0,270,3,2,30,36,,
37SAT257Bikang1,23/01/2013,10:20:34PM,23/01/2013,2:20:34PM,5.1781,118.521917,28,0,0,174,0,3,315,37,,
38SAT257Bikang1,24/01/2013,12:21:08AM,23/01/2013,4:21:08PM,5.177467,118.5219,28,0,0,217,0,4,71,38,,
39SAT257Bikang1,24/01/2013,2:20:34AM,23/01/2013,6:20:34PM,5.178017,118.522667,28,0,0,191,2,1,105,39,,
40SAT257Bikang1,24/01/2013,2:20:37PM,24/01/2013,6:20:37AM,5.180217,118.523417,30.5,0,0,176,5,3,259,40,,
41SAT257Bikang1,24/01/2013,4:20:53PM,24/01/2013,8:20:53AM,5.190417,118.522717,30,0,0,55.3,3,3,1138,41,,
42SAT257Bikang1,24/01/2013,6:22:28PM,24/01/2013,10:22:28AM,5.2025,118.5184,30,0,0,106,0,2,1428,42,,
43SAT257Bikang1,24/01/2013,8:21:03PM,24/01/2013,12:21:03PM,5.20965,118.504533,29,0,0,146,5,2,1731,43,,
44SAT257Bikang1,24/01/2013,10:20:33PM,24/01/2013,2:20:33PM,5.213917,118.495233,28,0,0,111,2,2,1135,44,,
45SAT257Bikang1,25/01/2013,12:20:09AM,24/01/2013,4:20:09PM,5.236517,118.508083,27.5,0,0,37.2,5,11,2891,45,,
46SAT257Bikang1,25/01/2013,2:21:22AM,24/01/2013,6:21:22PM,5.244317,118.516117,27.5,0,0,d30.,0,3,1244,46,,
47SAT257Bikang1,25/01/2013,10:20:34PM,25/01/2013,2:20:34PM,5.241983,118.558633,28.5,0,0,108,1,2,4720,47,,
48SAT257Bikang1,26/01/2013,8:21:01AM,26/01/2013,12:21:01AM,5.2392,118.56335,28,0,0,74.3,0,2,608,48,,
49SAT257Bikang1,26/01/2013,10:22:23AM,26/01/2013,2:22:23AM,5.237833,118.56365,29,0,0,104,0,1,156,49,,
50SAT257Bikang1,26/01/2013,12:20:34PM,26/01/2013,4:20:34AM,5.237383,118.563483,30,0,0,130,2,1,53,50,,
51SAT257Bikang1,26/01/2013,2:20:07PM,26/01/2013,6:20:07AM,5.2362,118.563667,30.5,0,0,129,4,3,133,51,,
52SAT257Bikang1,27/01/2013,2:20:09AM,26/01/2013,6:20:09PM,5.235767,118.5712,29,0,0,122,1,1,836,52,,
53SAT257Bikang1,27/01/2013,2:20:34PM,27/01/2013,6:20:34AM,5.237333,118.57505,29,0,0,115,4,1,461,53,,
54SAT257Bikang1,27/01/2013,8:21:29PM,27/01/2013,12:21:29PM,5.23205,118.58435,29,0,0,167,1,3,1187,54,,
55SAT257Bikang1,28/01/2013,2:21:32AM,27/01/2013,6:21:32PM,5.23025,118.586833,28.5,0,0,195,0,13,340,55,,
56SAT257Bikang1,29/01/2013,12:21:27PM,29/01/2013,4:21:27AM,5.228867,118.602533,28.5,0,0,213,0,6,1747,56,,
57SAT257Bikang1,29/01/2013,2:21:04PM,29/01/2013,6:21:04AM,5.228583,118.6053,29,0,0,186,3,3,308,57,,
58SAT257Bikang1,30/01/2013,6:20:34AM,29/01/2013,10:20:34PM,5.224767,118.612783,27.5,0,0,187,0,1,932,58,,
59SAT257Bikang1,30/01/2013,4:20:46PM,30/01/2013,8:20:46AM,5.225467,118.617167,29.5,0,0,200,0,3,492,59,,
60SAT257Bikang1,31/01/2013,2:20:13PM,31/01/2013,6:20:13AM,5.2252,118.62315,28,0,0,187,1,4,664,60,,
61SAT257Bikang1,02/02/2013,2:20:34AM,01/02/2013,6:20:34PM,5.217983,118.6143,27,0,0,204,3,3,1268,61,,
62SAT257Bikang1,02/02/2013,4:20:34AM,01/02/2013,8:20:34PM,5.217983,118.614733,26,0,0,215,0,1,48,62,,
63SAT257Bikang1,02/02/2013,6:20:34AM,01/02/2013,10:20:34PM,5.21805,118.61355,26.5,0,0,228,3,1,131,63,,
64SAT257Bikang1,03/02/2013,4:20:33AM,02/02/2013,8:20:33PM,5.20075,118.61,27.5,0,0,217,5,1,1966,64,,
65SAT257Bikang1,03/02/2013,6:20:12AM,02/02/2013,10:20:12PM,5.20065,118.609983,26.5,0,0,208,1,1,11,65,,
66SAT257Bikang1,03/02/2013,8:21:04PM,03/02/2013,12:21:04PM,5.201583,118.66465,29,0,0,248,1,1,6061,66,,
67SAT257Bikang1,04/02/2013,4:21:36AM,03/02/2013,8:21:36PM,5.198733,118.665183,28,0,0,171,0,1,323,67,,
68SAT257Bikang1,04/02/2013,6:22:03AM,03/02/2013,10:22:03PM,5.197267,118.665417,27.5,0,0,198,0,6,165,68,,
69SAT257Bikang1,04/02/2013,8:21:05AM,04/02/2013,12:21:05AM,5.198067,118.660583,28,0,0,213,1,2,543,69,,
70SAT257Bikang1,04/02/2013,10:20:34AM,04/02/2013,2:20:34AM,5.1883,118.655017,29,0,0,138,0,1,1250,70,,
71SAT257Bikang1,04/02/2013,12:21:02PM,04/02/2013,4:21:02AM,5.18465,118.6587,31.5,0,0,128,0,1,576,71,,
72SAT257Bikang1,04/02/2013,2:22:11PM,04/02/2013,6:22:11AM,5.182333,118.657717,32,0,0,181,2,1,280,72,,
73SAT257Bikang1,04/02/2013,4:21:34PM,04/02/2013,8:21:34AM,5.179183,118.66045,31.5,0,0,232,1,1,463,73,,
74SAT257Bikang1,05/02/2013,6:20:34AM,04/02/2013,10:20:34PM,5.172,118.662167,28,0,0,219,5,1,822,74,,
75SAT257Bikang1,05/02/2013,12:20:35PM,05/02/2013,4:20:35AM,5.168217,118.660117,30,0,0,cccc,0,99,479,75,,
76SAT257Bikang1,05/02/2013,2:21:04PM,05/02/2013,6:21:04AM,5.16785,118.66055,31,0,0,201,5,1,63,76,,
77SAT257Bikang1,05/02/2013,4:21:02PM,05/02/2013,8:21:02AM,5.161683,118.656883,31,0,0,192,3,1,798,77,,
78SAT257Bikang1,05/02/2013,6:20:33PM,05/02/2013,10:20:33AM,5.159867,118.655683,29.5,0,0,153,3,1,242,78,,
79SAT257Bikang1,05/02/2013,6:21:35PM,05/02/2013,10:21:35AM,5.159883,118.65575,29.5,0,0,147,3,1,8,79,,
80SAT257Bikang1,05/02/2013,8:21:07PM,05/02/2013,12:21:07PM,5.1592,118.6546,28.5,0,0,201,0,1,148,80,,
81SAT257Bikang1,05/02/2013,10:21:34PM,05/02/2013,2:21:34PM,5.1592,118.65465,28.5,0,0,192,1,3,6,81,,
82SAT257Bikang1,06/02/2013,12:21:09AM,05/02/2013,4:21:09PM,5.1594,118.654783,28.5,0,0,164,3,5,27,82,,
83SAT257Bikang1,06/02/2013,2:22:58AM,05/02/2013,6:22:58PM,5.159167,118.654717,29,0,0,182,0,1,27,83,,
84SAT257Bikang1,06/02/2013,4:21:12AM,05/02/2013,8:21:12PM,5.159033,118.654583,28,0,0,164,0,3,21,84,,
85SAT257Bikang1,06/02/2013,6:23:28AM,05/02/2013,10:23:28PM,5.159133,118.654717,28,0,0,174,2,3,19,85,,
86SAT257Bikang1,06/02/2013,8:21:07AM,06/02/2013,12:21:07AM,5.1569,118.65675,28,0,0,213,0,2,336,86,,
87SAT257Bikang1,06/02/2013,10:22:30AM,06/02/2013,2:22:30AM,5.15685,118.6581,29,0,0,153,0,3,150,87,,
