id,localDate,localTime,gmtDate,gmtTime,lat,long,temp,extTemp,act,trueSpeed,dir,alt,cov,hdop,dist,count
SAT1444,20/06/2015,02:13:16,20/06/2015,00:13:16,5.37055,117.31525,28,0,0,0,0,54.5,0,3,51,1059
SAT1444,20/06/2015,04:14:53,20/06/2015,02:14:53,5.370383,117.315433,30,0,0,0,0,32.8,3,2,28,1060
SAT1444,20/06/2015,06:13:44,20/06/2015,04:13:44,5.370567,117.315467,31,0,0,0,0,61.3,0,4,21,1061
SAT1444,20/06/2015,08:13:34,20/06/2015,06:13:34,5.370467,117.315217,32.5,0,0,0,0,50.2,0,4,30,1062
SAT1444,20/06/2015,10:13:34,20/06/2015,08:13:34,5.3706,117.314067,33,0,0,0,0,85.4,0,2,128,1063
SAT1444,20/06/2015,12:13:35,20/06/2015,10:13:35,5.372333,117.313417,32.5,0,0,0,0,73.1,2,7,206,1064
SAT1444,20/06/2015,16:14:28,20/06/2015,14:14:28,5.37845,117.31155,31,0,0,0,0,78.1,5,1,712,1065
SAT1444,20/06/2015,18:13:34,20/06/2015,16:13:34,5.378317,117.309017,30,0,0,0,0,63.5,0,1,281,1066
SAT1444,20/06/2015,20:13:52,20/06/2015,18:13:52,5.378217,117.305917,29.5,0,0,0,0,26.1,1,3,344,1067
SAT1444,20/06/2015,22:14:04,20/06/2015,20:14:04,5.376467,117.309067,29,0,0,0,0,96.6,5,2,400,1068
SAT1444,21/06/2015,00:13:34,20/06/2015,22:13:34,5.377217,117.308933,28.5,0,0,0,0,66.1,0,1,85,1069
SAT1444,21/06/2015,02:13:53,21/06/2015,00:13:53,5.377767,117.307967,29,0,0,0,0,52.7,3,2,123,1070
SAT1444,21/06/2015,04:13:34,21/06/2015,02:13:34,5.37855,117.30825,31,0,0,0,0,87,0,3,93,1071
SAT1444,21/06/2015,06:13:33,21/06/2015,04:13:33,5.378383,117.3083,39.5,0,0,0,0,81.2,0,2,19,1072
SAT1444,21/06/2015,08:13:05,21/06/2015,06:13:05,5.376867,117.306883,35,0,0,0,0,80.1,1,4,231,1073
SAT1444,21/06/2015,10:14:04,21/06/2015,08:14:04,5.378583,117.308133,34,0,0,0,0,62.2,0,2,236,1074
SAT1444,21/06/2015,12:13:22,21/06/2015,10:13:22,5.376933,117.3054,32,0,0,0,0,34.8,0,2,354,1075
SAT1444,21/06/2015,14:13:33,21/06/2015,12:13:33,5.3784,117.301667,30.5,0,0,0,0,87.7,5,1,445,1076
SAT1444,21/06/2015,16:13:52,21/06/2015,14:13:52,5.378917,117.301667,29.5,0,0,0,0,98.2,0,1,58,1077
SAT1444,21/06/2015,18:13:05,21/06/2015,16:13:05,5.377933,117.29985,27.5,0,0,0,0,109,5,4,229,1078
SAT1444,21/06/2015,20:14:36,21/06/2015,18:14:36,5.3784,117.30005,28,0,0,0,0,103,1,4,56,1079
SAT1444,21/06/2015,22:13:34,21/06/2015,20:13:34,5.379817,117.3022,27.5,0,0,0,0,70.8,4,1,286,1080
SAT1444,22/06/2015,00:13:16,21/06/2015,22:13:16,5.38005,117.301633,26.5,0,0,0,0,84.2,1,3,68,1081
SAT1444,22/06/2015,02:13:53,22/06/2015,00:13:53,5.381717,117.302217,27.5,0,0,0,0,73.2,3,3,196,1082
SAT1444,22/06/2015,04:13:34,22/06/2015,02:13:34,5.380333,117.303717,30,0,0,0,0,80,0,3,227,1083
SAT1444,22/06/2015,06:13:52,22/06/2015,04:13:52,5.380483,117.307333,32.5,0,0,0,0,57.6,0,2,401,1084
SAT1444,22/06/2015,08:13:16,22/06/2015,06:13:16,5.3807,117.30695,33.5,0,0,0,0,99.5,0,3,49,1085
SAT1444,22/06/2015,12:13:34,22/06/2015,10:13:34,5.386617,117.308717,31.5,0,0,0,0,68.1,0,1,687,1086
SAT1444,22/06/2015,14:13:58,22/06/2015,12:13:58,5.385267,117.291583,31.5,0,0,0,0,110,0,2,1905,1087
SAT1444,22/06/2015,16:13:33,22/06/2015,14:13:33,5.3762,117.280967,30.5,0,0,0,0,75.8,4,1,1550,1088
SAT1444,22/06/2015,18:13:34,22/06/2015,16:13:34,5.375533,117.280667,29.5,0,0,0,0,61.6,0,1,81,1089
SAT1444,22/06/2015,20:13:34,22/06/2015,18:13:34,5.375717,117.280733,29,0,0,0,0,78.2,1,1,22,1090
SAT1444,22/06/2015,22:13:10,22/06/2015,20:13:10,5.3756,117.2807,27,0,0,0,0,78.1,2,2,14,1091
SAT1444,23/06/2015,00:13:33,22/06/2015,22:13:33,5.375383,117.2806,27.5,0,0,0,0,63.1,0,1,27,1092
SAT1444,23/06/2015,02:13:05,23/06/2015,00:13:05,5.375283,117.279667,27.5,0,0,0,0,71.4,0,1,104,1093
SAT1444,23/06/2015,04:14:04,23/06/2015,02:14:04,5.373817,117.276217,30.5,0,0,0,0,74.5,5,1,416,1094
SAT1444,23/06/2015,06:13:04,23/06/2015,04:13:04,5.37445,117.269183,32,0,0,0,0,79.6,2,1,783,1095
SAT1444,23/06/2015,08:13:52,23/06/2015,06:13:52,5.37485,117.2687,33,0,0,0,0,89,5,4,70,1096
SAT1444,23/06/2015,10:13:34,23/06/2015,08:13:34,5.367067,117.264367,35,0,0,0,0,56.5,1,1,991,1097
SAT1444,23/06/2015,12:13:34,23/06/2015,10:13:34,5.365967,117.26095,31.5,0,0,0,0,68.9,0,3,398,1098
SAT1444,23/06/2015,14:13:33,23/06/2015,12:13:33,5.362533,117.26035,30.5,0,0,0,0,46.7,5,1,388,1099
