id,localDate,localTime,gmtDate,gmtTime,lat,long,temp,extTemp,act,trueSpeed,dir,alt,cov,hdop,dist,count
1SAT744Ita,04/06/2013,1:32:10 AM,03/06/2013,17:32:10,5.416833,118.09905,27.5,0,0,0,0,140,4,2,0,1
2SAT744Ita,04/06/2013,3:33:04 AM,03/06/2013,19:33:04,5.416583,118.09885,27.5,0,0,0,0,30.2,0,1,36,2
3SAT744Ita,04/06/2013,5:32:07 AM,03/06/2013,21:32:07,5.417117,118.0991,27,0,0,0,0,49.9,1,1,66,3
4SAT744Ita,04/06/2013,7:33:22 AM,03/06/2013,23:33:22,5.418,118.098683,28,0,0,0,0,152,4,2,109,4
5SAT744Ita,04/06/2013,9:32:34 AM,04/06/2013,01:32:34,5.418383,118.0981,28.5,0,0,0,0,29.8,0,1,77,5
6SAT744Ita,04/06/2013,11:32:15 AM,04/06/2013,03:32:15,5.4203,118.0984,30.5,0,0,0,0,10.9,5,2,216,6
7SAT744Ita,04/06/2013,1:33:35 PM,04/06/2013,05:33:35,5.42175,118.09895,31,0,0,0,0,34.2,5,2,173,7
8SAT744Ita,04/06/2013,3:32:34 PM,04/06/2013,07:32:34,5.421083,118.09875,33,0,0,0,0,21.3,1,1,77,8
9SAT744Ita,04/06/2013,5:32:34 PM,04/06/2013,09:32:34,5.419283,118.099267,31,0,0,0,0,11.5,2,2,208,9
10SAT744Ita,04/06/2013,7:32:34 PM,04/06/2013,11:32:34,5.420433,118.096283,30,0,0,0,0,27.4,3,1,355,10
11SAT744Ita,04/06/2013,9:32:05 PM,04/06/2013,13:32:05,5.420167,118.09615,29,0,0,0,0,1.0c,1,2,33,11
12SAT744Ita,04/06/2013,11:32:33 PM,04/06/2013,15:32:33,5.418617,118.095917,28.5,0,0,0,0,14.4,5,0,174,12
13SAT744Ita,05/06/2013,1:32:08 AM,04/06/2013,17:32:08,5.418933,118.095583,28,0,0,0,0,27.1,5,1,51,13
14SAT744Ita,05/06/2013,3:32:33 AM,04/06/2013,19:32:33,5.419233,118.098333,28,0,0,0,0,11.5,0,1,307,14
15SAT744Ita,05/06/2013,5:32:25 AM,04/06/2013,21:32:25,5.418533,118.0982,28.5,0,0,0,0,79.7,5,2,79,15
16SAT744Ita,05/06/2013,7:32:33 AM,04/06/2013,23:32:33,5.424633,118.101083,28.5,0,0,0,0,29.2,0,1,750,16
17SAT744Ita,05/06/2013,9:32:07 AM,05/06/2013,01:32:07,5.429783,118.102417,31,0,0,0,0,3.1c,3,1,592,17
18SAT744Ita,05/06/2013,11:33:03 AM,05/06/2013,03:33:03,5.4322,118.102817,32,0,0,0,0,21.3,4,1,273,18
19SAT744Ita,05/06/2013,1:32:34 PM,05/06/2013,05:32:34,5.431183,118.110967,32.5,0,0,0,0,30.6,3,1,910,19
20SAT744Ita,05/06/2013,3:32:34 PM,05/06/2013,07:32:34,5.431367,118.1126,33,0,0,0,0,22.9,0,3,182,20
21SAT744Ita,05/06/2013,5:32:34 PM,05/06/2013,09:32:34,5.4308,118.114317,33,0,0,0,0,25.6,5,1,200,21
22SAT744Ita,05/06/2013,7:32:09 PM,05/06/2013,11:32:09,5.4312,118.115333,31.5,0,0,0,0,65.8,1,1,121,22
