id,localDate,localTime,gmtDate,gmtTime,lat,long,temp,extTemp,act,trueSpeed,dir,alt,cov,hdop,dist,count
SAT747 Jasper (,16/03/2014,01:39:07,15/03/2014,17:39:07,4.72045,117.273933,25,0,0,0,0,402,1,2,0,1
SAT747 Jasper (,16/03/2014,03:39:19,15/03/2014,19:39:19,4.720433,117.273633,25.5,0,0,0,0,381,1,2,33,2
SAT747 Jasper (,16/03/2014,05:39:50,15/03/2014,21:39:50,4.720483,117.2738,25.5,0,0,0,0,394,0,1,19,3
SAT747 Jasper (,16/03/2014,07:39:20,15/03/2014,23:39:20,4.720517,117.273717,25,0,0,0,0,392,2,1,10,4
SAT747 Jasper (,16/03/2014,09:39:20,16/03/2014,01:39:20,4.720683,117.273267,26,0,0,0,0,394,5,1,53,5
SAT747 Jasper (,16/03/2014,09:39:20,16/03/2014,01:39:20,4.720683,117.273267,26,0,0,0,0,394,5,1,0,6
SAT747 Jasper (,16/03/2014,11:39:57,16/03/2014,03:39:57,4.720883,117.271483,27.5,0,0,0,0,371,2,2,199,7
SAT747 Jasper (,16/03/2014,13:39:22,16/03/2014,05:39:22,4.72135,117.271,34.5,0,0,0,0,388,0,2,75,8
SAT747 Jasper (,16/03/2014,17:39:38,16/03/2014,09:39:38,4.722133,117.270983,28.5,0,0,0,0,385,0,1,87,9
SAT747 Jasper (,16/03/2014,19:39:20,16/03/2014,11:39:20,4.722533,117.2715,27.5,0,0,0,0,350,1,3,73,10
SAT747 Jasper (,16/03/2014,21:39:19,16/03/2014,13:39:19,4.722683,117.271517,27,0,0,0,0,378,4,1,17,11
SAT747 Jasper (,16/03/2014,23:39:20,16/03/2014,15:39:20,4.722033,117.2715,26.5,0,0,0,0,395,0,1,72,12
SAT747 Jasper (,17/03/2014,01:39:12,16/03/2014,17:39:12,4.721617,117.271267,26.5,0,0,0,0,424,2,5,53,13
SAT747 Jasper (,17/03/2014,03:39:50,16/03/2014,19:39:50,4.721683,117.271167,26.5,0,0,0,0,367,0,1,13,14
SAT747 Jasper (,17/03/2014,05:39:20,16/03/2014,21:39:20,4.721767,117.271117,26.5,0,0,0,0,396,0,1,11,15
SAT747 Jasper (,17/03/2014,07:39:59,16/03/2014,23:39:59,4.722033,117.270917,27,0,0,0,0,387,3,8,37,16
SAT747 Jasper (,17/03/2014,09:39:20,17/03/2014,01:39:20,4.722117,117.270983,28.5,0,0,0,0,382,0,1,12,17
SAT747 Jasper (,17/03/2014,11:39:21,17/03/2014,03:39:21,4.722833,117.271383,30.5,0,0,0,0,427,5,1,91,18
SAT747 Jasper (,17/03/2014,13:39:19,17/03/2014,05:39:19,4.7231,117.2707,34,0,0,0,0,377,3,2,81,19
SAT747 Jasper (,17/03/2014,13:39:19,17/03/2014,05:39:19,4.7231,117.2707,34,0,0,0,0,377,3,2,0,20
SAT747 Jasper (,17/03/2014,15:39:50,17/03/2014,07:39:50,4.72335,117.270417,32.5,0,0,0,0,382,0,1,42,21
SAT747 Jasper (,17/03/2014,15:39:50,17/03/2014,07:39:50,4.72335,117.270417,32.5,0,0,0,0,382,0,1,0,22
SAT747 Jasper (,17/03/2014,17:39:15,17/03/2014,09:39:15,4.723233,117.27055,30.5,0,0,0,0,389,0,1,20,23
