id,localDate,localTime,gmtDate,gmtTime,lat,long,temp,extTemp,act,trueSpeed,dir,alt,cov,hdop,dist,count
SAT1390,06/07/2014,03:30:33,06/07/2014,01:30:33,5.512183,118.260383,27.5,0,0,0,0,23,3,2,1802,152
SAT1390,06/07/2014,03:30:33,06/07/2014,01:30:33,5.512183,118.260383,27.5,0,0,0,0,23,3,2,0,153
SAT1390,06/07/2014,03:30:33,06/07/2014,01:30:33,5.512183,118.260383,27.5,0,0,0,0,23,3,2,0,154
SAT1390,06/07/2014,05:30:04,06/07/2014,03:30:04,5.512217,118.260367,31.5,0,0,0,0,15.1,2,4,4,155
SAT1390,06/07/2014,05:30:04,06/07/2014,03:30:04,5.512217,118.260367,31.5,0,0,0,0,15.1,2,4,0,156
SAT1390,06/07/2014,07:30:33,06/07/2014,05:30:33,5.512167,118.26045,34,0,0,0,0,15.9,4,1,11,157
SAT1390,06/07/2014,09:30:05,06/07/2014,07:30:05,5.512183,118.26035,34.5,0,0,0,0,18.5,0,1,11,158
SAT1390,06/07/2014,11:30:33,06/07/2014,09:30:33,5.512167,118.26045,32.5,0,0,0,0,24.6,5,0,11,159
SAT1390,06/07/2014,13:30:05,06/07/2014,11:30:05,5.512133,118.2606,30,0,0,0,0,20.3,2,1,17,160
SAT1390,06/07/2014,15:30:33,06/07/2014,13:30:33,5.512183,118.260433,29,0,0,0,0,16.9,5,0,19,161
SAT1390,06/07/2014,15:30:33,06/07/2014,13:30:33,5.512183,118.260433,29,0,0,0,0,16.9,5,0,0,162
SAT1390,06/07/2014,17:30:09,06/07/2014,15:30:09,5.512133,118.260433,27,0,0,0,0,d3.8,5,1,6,163
SAT1390,06/07/2014,19:30:51,06/07/2014,17:30:51,5.512217,118.2605,27.5,0,0,0,0,d7.3,3,2,12,164
SAT1390,06/07/2014,21:30:34,06/07/2014,19:30:34,5.512167,118.260417,27,0,0,0,0,8.7c,5,1,11,165
SAT1390,06/07/2014,23:30:34,06/07/2014,21:30:34,5.512183,118.2605,26.5,0,0,0,0,15.6,4,1,9,166
SAT1390,07/07/2014,01:30:03,06/07/2014,23:30:03,5.51215,118.260383,26.5,0,0,0,0,4.3c,5,2,13,167
SAT1390,07/07/2014,03:30:33,07/07/2014,01:30:33,5.512167,118.26045,29.5,0,0,0,0,26.3,1,0,8,168
SAT1390,07/07/2014,05:30:03,07/07/2014,03:30:03,5.512067,118.260183,32,0,0,0,0,22.5,0,1,32,169
SAT1390,07/07/2014,07:31:04,07/07/2014,05:31:04,5.5249,118.2097,37,0,0,0,0,25.1,3,2,5773,170
SAT1390,07/07/2014,09:30:09,07/07/2014,07:30:09,5.517467,118.2082,33.5,0,0,0,0,15.1,1,6,844,171
SAT1390,07/07/2014,11:31:52,07/07/2014,09:31:52,5.516517,118.211567,31,0,0,0,0,6.0c,0,1,388,172
SAT1390,07/07/2014,13:30:34,07/07/2014,11:30:34,5.517183,118.2157,29,0,0,0,0,0.5c,0,2,464,173
SAT1390,07/07/2014,17:31:52,07/07/2014,15:31:52,5.5141,118.218217,29.5,0,0,0,0,32.3,0,3,442,174
SAT1390,07/07/2014,19:30:52,07/07/2014,17:30:52,5.51355,118.218883,28.5,0,0,0,0,17.3,0,1,96,175
SAT1390,07/07/2014,21:30:34,07/07/2014,19:30:34,5.513983,118.219533,27.5,0,0,0,0,26.5,5,2,87,176
SAT1390,07/07/2014,23:30:34,07/07/2014,21:30:34,5.514083,118.2204,27,0,0,0,0,9.5c,0,3,97,177
SAT1390,07/07/2014,23:30:34,07/07/2014,21:30:34,5.514083,118.2204,27,0,0,0,0,9.5c,0,3,0,178
SAT1390,07/07/2014,23:30:34,07/07/2014,21:30:34,5.514083,118.2204,27,0,0,0,0,9.5c,0,3,0,179
SAT1390,08/07/2014,01:30:07,07/07/2014,23:30:07,5.512883,118.22605,26,0,0,0,0,66.1,3,1,640,180
SAT1390,08/07/2014,01:30:07,07/07/2014,23:30:07,5.512883,118.22605,26,0,0,0,0,66.1,3,1,0,181
SAT1390,08/07/2014,01:30:07,07/07/2014,23:30:07,5.512883,118.22605,26,0,0,0,0,66.1,3,1,0,182
SAT1390,08/07/2014,01:30:07,07/07/2014,23:30:07,5.512883,118.22605,26,0,0,0,0,66.1,3,1,0,183
