id,localDate,localTime,gmtDate,gmtTime,lat,long,temp,extTemp,act,trueSpeed,dir,alt,cov,hdop,dist,count
1SAT433Kuma,27/04/2013,15:35:14,27/04/2013,4.62008,117.9158,29.5,0,0,0,0,353,0,5,0,1,
2SAT433Kuma,27/04/2013,17:34:34,27/04/2013,4.62043,117.91572,29,0,0,0,0,cccc,5,31,40,2,
3SAT433Kuma,04/05/2013,19:34:24,04/05/2013,4.60428,117.9622,29,0,0,0,0,209,5,5,5462,3,
4SAT433Kuma,04/05/2013,23:34:33,04/05/2013,4.60447,117.9622,28.5,0,0,0,0,213,2,1,20,4,
5SAT433Kuma,05/05/2013,05:34:04,04/05/2013,4.60452,117.9622,27.5,0,0,0,0,219,2,1,6,5,
6SAT433Kuma,05/05/2013,07:35:34,04/05/2013,4.60528,117.96277,27.5,0,0,0,0,205,0,1,106,6,
7SAT433Kuma,05/05/2013,09:34:34,05/05/2013,4.60428,117.96935,29,0,0,0,0,198,2,1,739,7,
8SAT433Kuma,05/05/2013,11:34:34,05/05/2013,4.60958,117.97213,31,0,0,0,0,173,0,1,666,8,
9SAT433Kuma,05/05/2013,13:34:34,05/05/2013,4.6127,117.98385,34.5,0,0,0,0,169,0,1,1346,9,
10SAT433Kuma,05/05/2013,15:34:11,05/05/2013,4.61668,117.99592,34,0,0,0,0,193,3,1,1410,10,
11SAT433Kuma,05/05/2013,19:34:06,05/05/2013,4.61742,118.02755,28.5,0,0,0,0,177,5,3,3511,11,
12SAT433Kuma,05/05/2013,21:34:33,05/05/2013,4.61288,118.029,28.5,0,0,0,0,243,3,2,530,12,
13SAT433Kuma,05/05/2013,23:34:34,05/05/2013,4.6101,118.02358,27.5,0,0,0,0,242,2,1,676,13,
14SAT433Kuma,08/05/2013,15:34:26,08/05/2013,4.6274,117.98285,28,0,0,0,0,331,0,4,4913,14,
15SAT433Kuma,08/05/2013,17:35:33,08/05/2013,4.62527,117.98028,28,0,0,0,0,204,1,1,371,15,
16SAT433Kuma,08/05/2013,19:34:24,08/05/2013,4.62522,117.97782,28,0,0,0,0,200,0,3,274,16,
17SAT433Kuma,08/05/2013,21:35:31,08/05/2013,4.62517,117.9762,28,0,,0,0,220,0,3,179,17,
18SAT433Kuma,08/05/2013,23:34:40,08/05/2013,4.62513,117.97622,27.5,0,`,0,0,186,0,1,4,18,
19SAT433Kuma,09/05/2013,01:34:34,08/05/2013,4.6246,117.97613,27,0,0,0,0,197,0,1,60,19,
20SAT433Kuma,09/05/2013,03:34:34,08/05/2013,4.62482,117.97643,27,0,0,0,0,224,0,2,41,20,
21SAT433Kuma,09/05/2013,05:34:33,08/05/2013,4.6248,117.97632,26.5,0,0,0,0,193,0,1,13,21,
22SAT433Kuma,09/05/2013,07:37:02,08/05/2013,4.62402,117.97167,27,0,0,0,0,218,0,2,523,22,
23SAT433Kuma,09/05/2013,09:34:34,09/05/2013,4.62712,117.97242,27.5,0,0,0,0,252,1,1,355,23,
24SAT433Kuma,09/05/2013,11:34:33,09/05/2013,4.6247,117.9724,28.5,0,0,0,0,246,0,3,269,24,
25SAT433Kuma,09/05/2013,13:35:00,09/05/2013,4.62447,117.97288,28.5,0,0,0,0,279,0,2,60,25,
26SAT433Kuma,09/05/2013,15:35:29,09/05/2013,4.6268,117.97583,29.5,0,0,0,0,221,0,3,418,26,
27SAT433Kuma,09/05/2013,17:36:29,09/05/2013,4.63108,117.98177,29.5,0,0,0,0,254,5,1,813,27,
28SAT433Kuma,09/05/2013,19:34:09,09/05/2013,4.6362,117.97955,28.5,0,0,0,0,276,0,2,620,28,
29SAT433Kuma,09/05/2013,21:37:34,09/05/2013,4.63865,117.97898,28.5,0,0,0,0,302,0,3,280,29,
30SAT433Kuma,09/05/2013,23:34:09,09/05/2013,4.63845,117.97918,28.5,0,0,0,0,298,0,1,31,30,
31SAT433Kuma,10/05/2013,01:35:33,09/05/2013,4.6384,117.97915,29,0,0,0,0,323,0,3,7,31,
32SAT433Kuma,10/05/2013,03:34:34,09/05/2013,4.63843,117.97918,28,0,0,0,0,309,0,1,5,32,
33SAT433Kuma,10/05/2013,05:34:34,09/05/2013,4.63845,117.97917,27.5,0,0,0,0,298,0,1,3,33,
34SAT433Kuma,10/05/2013,07:34:52,09/05/2013,4.63643,117.98168,27.5,0,0,0,0,276,4,1,358,34,
35SAT433Kuma,10/05/2013,11:34:34,10/05/2013,4.63073,117.98292,29,0,0,0,0,240,0,3,649,35,
36SAT433Kuma,10/05/2013,13:34:34,10/05/2013,4.63123,117.98423,28.5,0,0,0,0,248,0,1,156,36,
