id,localDate,localTime,gmtDate,gmtTime,lat,long,temp,extTemp,act,trueSpeed,dir,alt,cov,hdop,dist,count
SAT1441,09/07/2015,03:07:59,09/07/2015,01:07:59,5.5652,117.59945,30.5,0,0,0,0,79.5,0,1,865,1443
SAT1441,09/07/2015,05:06:15,09/07/2015,03:06:15,5.5676,117.59905,30.5,0,0,0,0,43.3,0,4,271,1444
SAT1441,09/07/2015,07:07:56,09/07/2015,05:07:56,5.5696,117.5884,32.5,0,0,0,0,90.8,2,5,1201,1445
SAT1441,09/07/2015,09:07:04,09/07/2015,07:07:04,5.5693,117.57485,31.5,0,0,0,0,90.5,5,2,1502,1446
SAT1441,09/07/2015,13:06:32,09/07/2015,11:06:32,5.58015,117.541917,30,0,0,0,0,56.3,4,1,3843,1447
SAT1441,09/07/2015,15:06:33,09/07/2015,13:06:33,5.575933,117.525667,29.5,0,0,0,0,122,0,0,1861,1448
SAT1441,09/07/2015,17:06:06,09/07/2015,15:06:06,5.5759,117.525617,28,0,0,0,0,124,0,1,7,1449
SAT1441,09/07/2015,21:06:13,09/07/2015,19:06:13,5.575683,117.52465,28.5,0,0,0,0,24.5,0,2,110,1450
SAT1441,09/07/2015,23:06:32,09/07/2015,21:06:32,5.575633,117.525067,28,0,0,0,0,100,0,2,46,1451
SAT1441,10/07/2015,01:06:21,09/07/2015,23:06:21,5.582283,117.515267,27.5,0,0,0,0,170,0,2,1314,1452
SAT1441,10/07/2015,03:07:02,10/07/2015,01:07:02,5.5819,117.513633,29,0,0,0,0,100,0,2,186,1453
SAT1441,10/07/2015,05:06:33,10/07/2015,03:06:33,5.582317,117.5131,29,0,0,0,0,107,0,1,75,1454
SAT1441,10/07/2015,07:06:33,10/07/2015,05:06:33,5.58235,117.5133,30,0,0,0,0,142,0,1,22,1455
SAT1441,10/07/2015,09:06:33,10/07/2015,07:06:33,5.582133,117.51135,31.5,0,0,0,0,116,0,1,217,1456
SAT1441,10/07/2015,11:06:33,10/07/2015,09:06:33,5.5825,117.509967,32,0,0,0,0,101,0,1,159,1457
SAT1441,10/07/2015,13:06:06,10/07/2015,11:06:06,5.58175,117.509483,30,0,0,0,0,176,0,1,99,1458
SAT1441,10/07/2015,15:08:04,10/07/2015,13:08:04,5.58085,117.508483,29,0,0,0,0,118,0,7,149,1459
SAT1441,10/07/2015,19:07:03,10/07/2015,17:07:03,5.582067,117.507517,27,0,0,0,0,138,0,1,173,1460
SAT1441,10/07/2015,21:06:06,10/07/2015,19:06:06,5.582033,117.507633,26,0,0,0,0,132,5,2,13,1461
