id,localDate,localTime,gmtDate,gmtTime,lat,long,temp,extTemp,act,trueSpeed,dir,alt,cov,hdop,dist,count
SAT1388 Merotai,18/04/2015,09:59:03,18/04/2015,01:59:03,4.99895,117.142483,30,0,0,0,0,208,0,1,0,1
SAT1388 Merotai,18/04/2015,17:59:33,18/04/2015,09:59:33,4.995,117.131133,33,0,0,0,0,204,1,2,1333,2
SAT1388 Merotai,18/04/2015,17:59:33,18/04/2015,09:59:33,4.995,117.131133,33,0,0,0,0,204,1,2,0,3
SAT1388 Merotai,19/04/2015,09:59:37,19/04/2015,01:59:37,5.01455,117.12775,31.5,0,0,0,0,357,0,5,2208,4
SAT1388 Merotai,19/04/2015,17:58:34,19/04/2015,09:58:34,5.014667,117.126467,27.5,0,0,0,0,399,1,6,143,5
SAT1388 Merotai,19/04/2015,17:58:34,19/04/2015,09:58:34,5.014667,117.126467,27.5,0,0,0,0,399,1,6,0,6
SAT1388 Merotai,19/04/2015,17:58:34,19/04/2015,09:58:34,5.014667,117.126467,27.5,0,0,0,0,399,1,6,0,7
SAT1388 Merotai,19/04/2015,18:58:05,19/04/2015,10:58:05,5.01485,117.126767,27,0,0,0,0,316,5,5,39,8
SAT1388 Merotai,19/04/2015,19:58:19,19/04/2015,11:58:19,5.015317,117.12575,27,0,0,0,0,350,0,15,124,9
SAT1388 Merotai,19/04/2015,20:58:52,19/04/2015,12:58:52,5.0149,117.125683,27.5,0,0,0,0,343,0,2,47,10
SAT1388 Merotai,19/04/2015,21:58:10,19/04/2015,13:58:10,5.014883,117.126617,27,0,0,0,0,489,4,2,104,11
SAT1388 Merotai,19/04/2015,22:58:07,19/04/2015,14:58:07,5.013367,117.12825,27,0,0,0,0,348,5,2,248,12
SAT1388 Merotai,19/04/2015,23:58:42,19/04/2015,15:58:42,5.013033,117.127983,27.5,0,0,0,0,346,1,19,47,13
SAT1388 Merotai,20/04/2015,00:58:35,19/04/2015,16:58:35,5.013033,117.127867,27.5,0,0,0,0,319,0,3,13,14
SAT1388 Merotai,20/04/2015,01:58:28,19/04/2015,17:58:28,5.01315,117.128117,27.5,0,0,0,0,506,0,2,31,15
SAT1388 Merotai,20/04/2015,02:59:04,19/04/2015,18:59:04,5.01315,117.12825,27.5,0,0,0,0,358,5,1,15,16
SAT1388 Merotai,20/04/2015,03:58:38,19/04/2015,19:58:38,5.013083,117.128067,27.5,0,0,0,0,316,0,4,22,17
SAT1388 Merotai,20/04/2015,04:58:34,19/04/2015,20:58:34,5.0134,117.127767,27.5,0,0,0,0,343,0,1,48,18
SAT1388 Merotai,20/04/2015,05:58:08,19/04/2015,21:58:08,5.013383,117.127967,27,0,0,0,0,426,0,1,22,19
SAT1388 Merotai,20/04/2015,07:00:05,19/04/2015,23:00:05,5.010333,117.130967,27.5,0,0,0,0,343,0,2,475,20
SAT1388 Merotai,20/04/2015,07:58:34,19/04/2015,23:58:34,5.00725,117.129367,27.5,0,0,0,0,346,5,4,386,21
SAT1388 Merotai,20/04/2015,08:58:09,20/04/2015,00:58:09,5.00735,117.129367,28,0,0,0,0,337,0,1,11,22
SAT1388 Merotai,20/04/2015,09:58:08,20/04/2015,01:58:08,5.007117,117.128483,29,0,0,0,0,341,0,2,101,23
SAT1388 Merotai,20/04/2015,10:58:33,20/04/2015,02:58:33,5.006533,117.127,29,0,0,0,0,337,2,3,177,24
SAT1388 Merotai,20/04/2015,11:58:15,20/04/2015,03:58:15,5.006417,117.126817,29.5,0,0,0,0,286,3,8,24,25
SAT1388 Merotai,20/04/2015,12:58:34,20/04/2015,04:58:34,5.006683,117.128183,32,0,0,0,0,341,5,1,154,26
SAT1388 Merotai,20/04/2015,13:58:13,20/04/2015,05:58:13,5.004867,117.1262,32,0,0,0,0,256,0,5,299,27
SAT1388 Merotai,20/04/2015,14:59:04,20/04/2015,06:59:04,4.998717,117.12805,33,0,0,0,0,266,0,1,715,28
SAT1388 Merotai,20/04/2015,15:58:11,20/04/2015,07:58:11,4.995167,117.1351,32.5,0,0,0,0,229,2,7,876,29
SAT1388 Merotai,20/04/2015,16:59:58,20/04/2015,08:59:58,4.9982,117.14525,33,0,0,0,0,222,0,3,1175,30
SAT1388 Merotai,20/04/2015,17:58:05,20/04/2015,09:58:05,4.9945,117.15065,31.5,0,0,0,0,197,5,3,727,31
SAT1388 Merotai,20/04/2015,18:59:04,20/04/2015,10:59:04,4.993117,117.155,31,0,0,0,0,210,3,1,506,32
SAT1388 Merotai,20/04/2015,19:58:05,20/04/2015,11:58:05,4.993333,117.155667,28.5,0,0,0,0,215,0,1,78,33
SAT1388 Merotai,20/04/2015,20:58:05,20/04/2015,12:58:05,4.99335,117.156183,27,0,0,0,0,245,0,3,57,34
SAT1388 Merotai,20/04/2015,21:58:34,20/04/2015,13:58:34,4.993883,117.155367,27,0,0,0,0,231,5,1,108,35
SAT1388 Merotai,20/04/2015,22:58:05,20/04/2015,14:58:05,4.993317,117.155267,26.5,0,0,0,0,204,5,1,64,36
SAT1388 Merotai,20/04/2015,23:58:08,20/04/2015,15:58:08,4.99315,117.15525,26,0,0,0,0,170,0,3,19,37
SAT1388 Merotai,21/04/2015,01:58:34,20/04/2015,17:58:34,4.994017,117.159333,26.5,0,0,0,0,240,0,1,463,38
SAT1388 Merotai,21/04/2015,02:58:06,20/04/2015,18:58:06,4.994167,117.159533,26,0,0,0,0,210,0,1,28,39
SAT1388 Merotai,21/04/2015,03:58:14,20/04/2015,19:58:14,4.993467,117.160133,26.5,0,0,0,0,186,0,3,102,40
SAT1388 Merotai,21/04/2015,04:58:33,20/04/2015,20:58:33,4.994083,117.159383,26.5,0,0,0,0,207,0,1,108,41
SAT1388 Merotai,21/04/2015,05:58:08,20/04/2015,21:58:08,4.994033,117.159267,25.5,0,0,0,0,213,0,1,14,42
SAT1388 Merotai,21/04/2015,06:58:09,20/04/2015,22:58:09,4.995967,117.160817,26,0,0,0,0,270,5,1,275,43
SAT1388 Merotai,21/04/2015,07:58:34,20/04/2015,23:58:34,4.996,117.160717,27.5,0,0,0,0,253,3,0,12,44
SAT1388 Merotai,21/04/2015,08:58:04,21/04/2015,00:58:04,5.000983,117.160233,29.5,0,0,0,0,285,5,1,557,45
SAT1388 Merotai,21/04/2015,09:58:34,21/04/2015,01:58:34,4.997567,117.16835,34,0,0,0,0,276,5,1,977,46
SAT1388 Merotai,21/04/2015,10:58:05,21/04/2015,02:58:05,4.99775,117.168317,33.5,0,0,0,0,293,5,2,21,47
SAT1388 Merotai,21/04/2015,11:58:06,21/04/2015,03:58:06,4.99785,117.168333,34.5,0,0,0,0,284,3,2,11,48
SAT1388 Merotai,21/04/2015,12:58:33,21/04/2015,04:58:33,5.000517,117.166083,35,0,0,0,0,304,1,1,388,49
SAT1388 Merotai,21/04/2015,13:58:05,21/04/2015,05:58:05,5.005467,117.162817,35,0,0,0,0,278,5,1,659,50
SAT1388 Merotai,21/04/2015,14:58:09,21/04/2015,06:58:09,5.011383,117.1638,34,0,0,0,0,330,5,1,668,51
