id,localDate,localTime,gmtDate,gmtTime,lat,long,temp,extTemp,act,trueSpeed,dir,alt,cov,hdop,dist,count
1SAT31,26/10/2011,12:04:37 AM,25/10/2011,4:04:37 PM,5.416322,118.034654,24.5,0.42,347,5.2cd,0,1.6,0,1,,
2SAT31,26/10/2011,8:05:08 AM,26/10/2011,12:05:08 AM,5.437163,118.111101,25.5,12.8,318,6.0cd,5,11.2,8784,2,,
3SAT31,27/10/2011,8:05:24 AM,27/10/2011,12:05:24 AM,5.474478,118.122076,27,0.81,53,21.1c,2,2.98,4328,3,,
4SAT31,28/10/2011,12:05:08 AM,27/10/2011,4:05:08 PM,5.45555,118.185365,28,0.66,3.9,d4.4c,5,2.16,7323,4,,
5SAT31,28/10/2011,12:05:08 AM,27/10/2011,4:05:08 PM,5.45555,118.185365,28,0.66,3.9,d4.4c,5,2.16,0,5,,
6SAT31,28/10/2011,12:07:53 PM,28/10/2011,4:07:53 AM,5.471788,118.217887,31.5,0.08,0,66.6c,2,2.48,4032,6,,
7SAT31,28/10/2011,4:04:37 PM,28/10/2011,8:04:37 AM,5.482455,118.236171,32.5,0.55,32,7.0cd,5,2.87,2348,7,,
8SAT31,28/10/2011,8:04:37 PM,28/10/2011,12:04:37 PM,5.481634,118.24306,29,0.41,5.5,d30.0,5,7.47,769,8,,
9SAT31,29/10/2011,12:06:29 AM,28/10/2011,4:06:29 PM,5.482939,118.238432,29,0.02,341,d35.1,5,2.24,533,9,,
10SAT31,29/10/2011,4:05:35 AM,28/10/2011,8:05:35 PM,5.481789,118.240462,28,0.02,0,34.5c,5,3.48,259,10,,
11SAT31,29/10/2011,12:05:05 PM,29/10/2011,4:05:05 AM,5.483243,118.250685,32.5,3.03,21,24.8c,0,1.66,1144,11,,
12SAT31,29/10/2011,4:06:56 PM,29/10/2011,8:06:56 AM,5.478731,118.251284,30,0.65,21,d51.0,0,2.41,507,12,,
13SAT31,30/10/2011,4:07:00 AM,29/10/2011,8:07:00 PM,5.479651,118.265908,28.5,0,713,5f975,0,0,1624,13,,
14SAT31,30/10/2011,4:07:05 AM,29/10/2011,8:07:05 PM,5.479652,118.265907,28,1.74,80,d52.1,3,2.9,0,14,,
15SAT31,30/10/2011,12:04:00 PM,30/10/2011,4:04:00 AM,5.485028,118.261006,30,0,713,5f975,3,0,808,15,,
