id,localDate,localTime,gmtDate,gmtTime,lat,long,temp,extTemp,act,trueSpeed,dir,alt,cov,hdop,dist,count
1SAT745Sejati,04/06/2013,10:05:14 AM,04/06/2013,02:05:14,5.422567,118.097383,26.5,0,0,30,0,5,0,1,,
2SAT745Sejati,04/06/2013,12:03:36 PM,04/06/2013,04:03:36,5.416367,118.035083,27.5,0,0,86.5,0,2,6939,2,,
3SAT745Sejati,04/06/2013,2:03:34 PM,04/06/2013,06:03:34,5.416433,118.034767,28,0,0,11.4,0,1,36,3,,
4SAT745Sejati,04/06/2013,4:03:16 PM,04/06/2013,08:03:16,5.419967,118.098667,28,0,0,31.7,0,3,7092,4,,
5SAT745Sejati,04/06/2013,6:03:33 PM,04/06/2013,10:03:33,5.422417,118.099083,28.5,0,0,24.5,0,1,277,5,,
6SAT745Sejati,04/06/2013,8:03:09 PM,04/06/2013,12:03:09,5.42245,118.0991,28.5,0,0,55.3,4,1,4,6,,
7SAT745Sejati,04/06/2013,10:03:33 PM,04/06/2013,14:03:33,5.4224,118.099167,29,0,0,27.4,1,1,9,7,,
8SAT745Sejati,05/06/2013,12:03:09 AM,04/06/2013,16:03:09,5.4224,118.09945,28.5,0,0,54.1,0,1,31,8,,
9SAT745Sejati,05/06/2013,2:03:33 AM,04/06/2013,18:03:33,5.422517,118.099033,28,0,0,24.2,4,1,48,9,,
10SAT745Sejati,05/06/2013,4:03:16 AM,04/06/2013,20:03:16,5.42235,118.09905,28,0,0,16.4,0,2,19,10,,
11SAT745Sejati,05/06/2013,6:03:33 AM,04/06/2013,22:03:33,5.4223,118.099033,28,0,0,19.6,0,1,6,11,,
12SAT745Sejati,05/06/2013,8:03:25 AM,05/06/2013,00:03:25,5.422283,118.099033,28,0,0,39.3,2,1,2,12,,
13SAT745Sejati,05/06/2013,10:03:33 AM,05/06/2013,02:03:33,5.426883,118.10095,29.5,0,0,10.3,0,2,554,13,,
14SAT745Sejati,05/06/2013,12:05:37 PM,05/06/2013,04:05:37,5.4279,118.102067,31.5,0,0,31.3,0,3,168,14,,
15SAT745Sejati,05/06/2013,2:05:04 PM,05/06/2013,06:05:04,5.433867,118.108617,33.5,0,0,19.2,5,1,984,15,,
16SAT745Sejati,05/06/2013,4:03:19 PM,05/06/2013,08:03:19,5.440533,118.10785,33.5,0,0,89.2,0,9,747,16,,
17SAT745Sejati,05/06/2013,6:04:09 PM,05/06/2013,10:04:09,5.441583,118.102533,33,0,0,0.6c,0,7,601,17,,
18SAT745Sejati,05/06/2013,8:03:48 PM,05/06/2013,12:03:48,5.4451,118.100317,30,0,0,79.6,0,7,462,18,,
19SAT745Sejati,05/06/2013,10:03:33 PM,05/06/2013,14:03:33,5.446833,118.094767,29.5,0,0,13.7,5,1,645,19,,
20SAT745Sejati,06/06/2013,12:03:04 AM,05/06/2013,16:03:04,5.447283,118.092567,28,0,0,19.1,5,1,249,20,,
21SAT745Sejati,06/06/2013,2:03:33 AM,05/06/2013,18:03:33,5.447183,118.092483,27.5,0,0,17.5,5,0,14,21,,
22SAT745Sejati,06/06/2013,4:03:03 AM,05/06/2013,20:03:03,5.446567,118.0943,27,0,0,10.6,5,0,213,22,,
