id,localDate,localTime,gmtDate,gmtTime,lat,long,temp,extTemp,act,trueSpeed,dir,alt,cov,hdop,dist,count
SAT1059 Tulid,07/12/2013,00:22:34,06/12/2013,16:22:34,5.639683,117.244683,29,0,0,0,0,103,5,0,0,1
SAT1059 Tulid,07/12/2013,02:22:06,06/12/2013,18:22:06,5.639833,117.244717,28.5,0,0,0,0,114,3,1,17,2
SAT1059 Tulid,07/12/2013,04:22:33,06/12/2013,20:22:33,5.639917,117.244683,30,0,0,0,0,102,5,1,10,3
SAT1059 Tulid,07/12/2013,06:22:06,06/12/2013,22:22:06,5.639917,117.244683,28,0,0,0,0,98.8,5,2,0,4
SAT1059 Tulid,07/12/2013,08:22:33,07/12/2013,00:22:33,5.639983,117.24475,30.5,0,0,0,0,101,5,0,10,5
SAT1059 Tulid,07/12/2013,10:22:04,07/12/2013,02:22:04,5.640033,117.244567,42,0,0,0,0,99.7,5,0,21,6
SAT1059 Tulid,07/12/2013,12:22:33,07/12/2013,04:22:33,5.639967,117.2443,42.5,0,0,0,0,100,5,0,30,7
SAT1059 Tulid,07/12/2013,14:22:04,07/12/2013,06:22:04,5.643133,117.248267,41,0,0,0,0,93.9,5,2,563,8
SAT1059 Tulid,07/12/2013,16:25:04,07/12/2013,08:25:04,5.643483,117.252667,35,0,0,0,0,99.4,2,4,489,9
SAT1059 Tulid,07/12/2013,18:22:10,07/12/2013,10:22:10,5.643733,117.2532,31.5,0,0,0,0,179,0,3,65,10
SAT1059 Tulid,07/12/2013,20:22:33,07/12/2013,12:22:33,5.645,117.252767,30.5,0,0,0,0,90.5,5,2,149,11
SAT1059 Tulid,07/12/2013,22:23:10,07/12/2013,14:23:10,5.64535,117.252733,30,0,0,0,0,159,5,2,39,12
SAT1059 Tulid,08/12/2013,00:22:33,07/12/2013,16:22:33,5.642433,117.252267,29,0,0,0,0,141,5,1,329,13
SAT1059 Tulid,08/12/2013,02:22:04,07/12/2013,18:22:04,5.6347,117.2472,28.5,0,0,0,0,122,5,5,1028,14
SAT1059 Tulid,08/12/2013,04:22:33,07/12/2013,20:22:33,5.632667,117.24615,28,0,0,0,0,149,5,2,254,15
SAT1059 Tulid,08/12/2013,06:22:03,07/12/2013,22:22:03,5.626583,117.249083,28,0,0,0,0,102,3,1,751,16
SAT1059 Tulid,08/12/2013,08:24:04,08/12/2013,00:24:04,5.632983,117.252833,29,0,0,0,0,160,1,1,825,17
SAT1059 Tulid,08/12/2013,10:22:13,08/12/2013,02:22:13,5.6328,117.25625,29.5,0,0,0,0,198,0,2,379,18
